"","ID","start","end","pos_x","pos_y","player","team","action","hypotenuse","angle","xG"
"850",24,1817,1829,20.9,10.6,"Thibault Zoe","Concordia Stingers",0,23.4343764585278,0.469372737288658,0.0178897129989533
"851",25,1827,1839,4.86,-6.58,"Yelle Justine","Concordia Stingers",0,8.18022004594008,-0.934630049786575,0.107742619968794
"852",26,2065,2077,19.34,-3.63,"Thibault Zoe","Concordia Stingers",0,19.677715822727,-0.185535256833326,0.0266626266720734
"853",27,2192,2204,8.98,5.95,"Boulanger Jessika","Carabins Universite de Montreal",0,10.7723210126695,0.585170479296817,0.10012335480356
"854",29,2220,2232,20.17,7.75,"Nadeau Kelly-Ann","Carabins Universite de Montreal",0,21.6076699345395,0.366841563761335,0.0226053115718586
"855",30,2328,2340,7.24,6.05,"Garand Joannie","Carabins Universite de Montreal",0,9.43504636978537,0.696095311596556,0.120650861547444
"856",31,2433,2445,6.51,-0.789999999999999,"Bernier Marie-Pascale","Concordia Stingers",1,6.55775876348009,-0.120761289571022,0.150239153142045
"857",33,2537,2549,13.2,10.32,"Boulanger Jessika","Carabins Universite de Montreal",0,16.7553692886788,0.663555726377531,0.0462629650470682
"858",34,2690,2702,11.37,-5.63,"Fecteau Emmy","Concordia Stingers",0,12.6875450738116,-0.459770293217646,0.0652724941052617
"859",35,2741,2753,10.18,11.36,"Nadeau Kelly-Ann","Carabins Universite de Montreal",0,15.2539175296053,0.840125262264936,0.0583587434237957
"860",36,2743,2755,4.95,0.92,"Pelletier Justine","Carabins Universite de Montreal",0,5.03476911089278,0.183761811745567,0.188355848705329
"861",37,2839,2851,4.95,0.83,"Garand Joannie","Carabins Universite de Montreal",1,5.01910350560735,0.166131317124558,0.188190106073885
"862",39,2925,2937,22,-12.08,"Faubert Annabel","Carabins Universite de Montreal",0,25.0983346061048,-0.502144984536649,0.0118665063291152
"863",40,3074,3086,12.56,-8,"Fecteau Emmy","Concordia Stingers",0,14.8913934875149,-0.567141248814569,0.0477449448418349
"864",41,3117,3129,16.32,9.56,"Veillette Audrey-Anne","Carabins Universite de Montreal",0,18.9139102250169,0.5299012084586,0.0337044947243313
"865",42,3158,3170,11.28,6.24,"Veillette Audrey-Anne","Carabins Universite de Montreal",0,12.890927041916,0.505290188099395,0.0751633769001309
"866",43,3160,3172,5.13,0.16,"Poire-Lehoux Amelie","Carabins Universite de Montreal",0,5.1324945202114,0.0311789765656891,0.181969729625624
"867",44,3382,3394,4.22,-2.4,"Pelletier Justine","Carabins Universite de Montreal",0,4.85472965261713,-0.517102172279362,0.172736476518059
"868",45,3406,3418,18.52,1.49,"Fontaine Laurie","Carabins Universite de Montreal",0,18.5798412264476,0.0802806488003166,0.0325232180527072
"869",46,3408,3420,4.86,-0.119999999999999,"Poire-Lehoux Amelie","Carabins Universite de Montreal",1,4.86148125574911,-0.0246863420555993,0.18614808598564
